frame,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_stride_length,right_stride_length,gait_symmetry,left_stride_variability,right_stride_variability
0,,,,,,,,,
6,,,,,,,,,
13,,,,,,,,,
20,,,,,,,,,
27,,,,,,,,,
34,,,,,,,,,
41,,,,,,,,,
48,,,,,,,,,
55,,,,,,,,,
62,,,,,,,,,
