frame,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_stride_length,right_stride_length,gait_symmetry,left_stride_variability,right_stride_variability
0,499.4131774902344,422.62213134765625,450.1175842285156,420.55322265625,88.50543999415787,119.07265023930266,-29.45128766794822,52.98039672850492,75.30518034278329
27,411.161865234375,429.32427978515625,335.9332275390625,454.3204956054688,17.26015901225163,35.253834578686984,-68.52906943851322,52.98039672850492,75.30518034278329
55,401.0927429199219,415.3055114746094,343.44403076171875,419.87603759765625,98.54395348019958,44.946611704675874,74.70503960517274,52.98039672850492,75.30518034278329
83,303.8913879394531,399.09417724609375,323.5503234863281,379.57171630859375,,,,52.98039672850492,75.30518034278329
111,,,,,,,,52.98039672850492,75.30518034278329
139,546.209228515625,382.0304565429688,554.6312255859375,393.4292602539063,58.391300789963125,69.45365108855549,-17.305885193033006,52.98039672850492,75.30518034278329
167,510.0722351074219,336.1647644042969,520.5955810546875,332.8868408203125,21.61592083288867,5.649924470088202,117.1135256243628,52.98039672850492,75.30518034278329
195,531.071533203125,331.0386047363281,519.2206420898438,338.3669128417969,102.591330555854,35.32278033776121,97.55136698083449,52.98039672850492,75.30518034278329
223,632.3567504882812,314.7203369140625,484.0451049804688,335.1450500488281,84.7180198674655,29.370526965858758,97.02550245024284,52.98039672850492,75.30518034278329
251,564.355224609375,365.2469177246094,463.9017639160156,356.5196533203125,,,,52.98039672850492,75.30518034278329
